id,garden_name,full_garden_name,qr_url,@qrcode_filename
00058,Caring Languages,The Garden of Caring Languages,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00058,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00058.png
00059,Organized Loops,The Garden of Organized Loops,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00059,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00059.png
00060,Evolving Seeds,The Garden of Evolving Seeds,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00060,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00060.png
00061,Circular Pistil,The Garden of Circular Pistil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00061,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00061.png
00062,Adaptive Stamen,The Garden of Adaptive Stamen,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00062,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00062.png
00063,Complex Friendships,The Garden of Complex Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00063,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00063.png
00064,Windy Delights,The Garden of Windy Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00064,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00064.png
00065,Rhizomatic Exchange,The Garden of Rhizomatic Exchange,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00065,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00065.png
00066,Earthly Contemplation,The Garden of Earthly Contemplation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00066,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00066.png
00067,Sleeping Play,The Garden of Sleeping Play,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00067,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00067.png
